Occupation,"Total
employed",Women,White,"Black or
African
American",Asian,"Hispanic
or Latino"
"Total, 16 years and over","147,795",46.8,78.0,12.1,6.4,17.6
"Management, professional, and related occupations","63,644",51.7,78.7,9.7,8.6,10.4
"Management, business, and financial operations occupations","27,143",44.6,81.7,8.8,6.7,10.9
Management occupations,"18,564",40.4,83.4,8.0,5.8,10.7
Chief executives,"1,669",29.3,88.0,4.3,5.4,7.4
General and operations managers,"1,057",30.5,84.4,7.1,4.5,12.4
Legislators,25,–,–,–,–,–
Advertising and promotions managers,56,52.1,80.5,14.7,3.9,3.5
Marketing managers,554,60.7,84.1,5.5,7.6,9.9
Sales managers,521,30.9,87.6,5.8,4.2,7.6
Public relations and fundraising managers,95,66.4,91.0,4.3,2.3,7.6
Administrative services managers,65,71.7,83.4,9.5,6.5,16.9
Facilities managers,134,25.0,90.1,4.9,2.4,12.6
Computer and information systems managers,744,26.6,75.5,7.0,15.5,5.2
Financial managers,"1,309",52.6,79.4,9.7,8.2,9.9
Compensation and benefits managers,18,–,–,–,–,–
Human resources managers,287,76.8,81.0,12.0,4.9,14.0
Training and development managers,52,55.8,85.4,9.2,0.2,10.1
Industrial production managers,272,22.6,84.3,5.9,7.2,13.5
Purchasing managers,212,45.8,83.2,12.1,3.1,7.3
"Transportation, storage, and distribution managers",300,21.3,79.3,10.7,6.1,17.2
"Farmers, ranchers, and other agricultural managers",901,25.1,96.3,0.7,0.8,4.3
Construction managers,966,8.4,91.4,3.3,2.9,14.5
Education and childcare administrators,948,66.5,79.5,14.3,3.3,12.0
Architectural and engineering managers,171,9.5,84.2,3.4,9.5,4.7
Food service managers,"1,092",46.6,77.7,9.8,9.4,19.8
Funeral home managers,10,–,–,–,–,–
Entertainment and recreation managers,40,–,–,–,–,–
Lodging managers,123,56.0,74.8,12.4,10.4,11.2
Medical and health services managers,711,70.3,77.6,13.3,5.6,11.5
Natural sciences managers,16,–,–,–,–,–
Postmasters and mail superintendents,24,–,–,–,–,–
"Property, real estate, and community association managers",781,48.5,84.7,8.6,3.5,12.9
Social and community service managers,424,72.5,75.9,18.3,2.1,10.3
Emergency management directors,12,–,–,–,–,–
"Personal service managers, all other",2,–,–,–,–,–
"Managers, all other","4,969",37.5,83.2,8.1,5.9,10.4
